"political_interest","political_trust","read_newspapers","canvassed","education_level","age","ideology"
2,7,2,1,5,63,6
2,2,1,2,0,47,5
0,NA,1,1,4,35,NA
2,4,2,1,5,37,NA
2,3,2,1,4,54,4
0,7,1,2,3,41,NA
2,4,1,1,4,40,5
3,3,2,1,2,39,5
3,5,1,2,5,40,2
2,2,2,2,4,NA,2
2,6,2,1,4,21,7
3,7,2,2,NA,74,0
0,4,1,1,4,27,5
3,4,2,2,0,39,3
3,2,2,1,4,41,6
2,4,2,1,4,29,4
2,5,2,2,5,52,2
3,3,2,1,4,37,3
2,7,2,1,5,31,NA
2,2,2,1,3,38,0
2,2,2,1,4,40,3
3,5,2,1,4,44,4
2,4,2,1,4,53,7
1,6,1,1,0,50,NA
2,3,2,1,5,87,5
2,8,2,1,4,61,6
1,4,1,2,4,36,5
0,0,1,NA,3,NA,NA
1,7,2,1,1,62,6
0,0,1,2,0,29,NA
3,9,2,2,3,69,7
2,0,2,2,2,47,1
3,5,2,1,4,23,5
0,3,1,2,1,33,2
1,5,1,2,2,59,0
3,9,2,2,4,47,7
2,6,2,2,4,29,7
2,5,2,2,1,22,2
2,0,1,1,3,33,0
2,5,1,2,0,54,5
2,8,2,1,0,47,7
2,4,1,NA,5,37,0
2,8,2,2,2,63,3
2,5,2,1,4,38,4
3,3,2,1,5,48,3
2,4,2,2,4,28,4
0,0,1,1,3,26,5
0,1,1,1,3,71,2
3,6,2,1,4,24,2
1,NA,1,1,2,59,5
0,8,1,1,0,26,5
0,0,1,1,0,21,3
3,6,2,2,5,71,6
1,4,1,1,5,28,3
0,7,1,1,4,38,NA
2,1,2,1,4,71,6
3,3,2,1,5,49,6
2,4,2,1,4,40,5
0,4,1,1,4,26,5
2,7,2,2,2,67,7
3,5,2,1,4,68,0
2,6,2,1,2,57,5
0,0,1,1,0,50,5
2,5,1,1,4,75,7
1,3,1,1,2,58,5
1,6,1,1,0,83,5
2,6,2,1,4,85,8
2,6,2,1,4,57,5
0,0,1,1,0,24,5
0,7,1,1,3,84,5
2,4,1,1,0,66,7
0,2,1,1,0,40,5
1,7,1,2,0,70,7
0,7,1,1,4,20,NA
2,0,1,1,0,75,5
3,4,2,1,4,33,7
2,4,1,1,3,22,7
