"political_interest","political_trust","read_newspapers","canvassed","education_level","age","ideology"
2,3,2,1,5,63,4
3,8,2,1,0,49,3
0,2,1,1,2,56,5
3,6,1,1,1,68,8
2,6,2,1,4,64,6
2,6,2,1,0,76,6
2,5,2,1,4,42,2
2,3,2,1,4,62,3
3,6,2,1,4,51,5
1,5,2,1,2,48,5
2,3,2,1,1,27,7
1,3,1,1,3,41,NA
1,2,1,1,0,32,5
2,6,2,2,4,76,6
2,3,2,1,5,45,2
2,2,2,1,3,69,3
1,4,1,1,2,50,5
0,4,1,1,3,23,10
3,8,2,2,4,71,6
2,4,2,2,4,21,5
2,0,2,1,2,49,NA
2,2,1,1,2,43,6
0,0,2,1,4,57,7
1,3,2,1,3,39,3
2,2,1,1,3,80,4
1,5,2,2,0,93,7
2,8,2,1,3,29,8
3,5,1,1,0,72,5
1,3,2,1,2,26,4
1,6,2,1,0,76,4
2,1,1,1,5,54,4
3,0,2,1,2,53,8
3,6,2,1,0,71,3
3,6,2,1,0,68,8
1,0,1,1,0,61,5
0,0,1,1,0,57,NA
2,6,1,1,1,73,9
1,4,1,1,4,61,NA
2,1,2,1,4,43,2
2,7,2,1,4,62,6
2,5,1,1,0,84,5
2,6,2,1,4,68,5
0,0,1,1,0,80,NA
2,8,1,2,4,35,5
3,2,1,1,4,36,3
2,0,1,1,4,23,4
3,1,2,1,4,30,NA
3,2,2,1,4,81,2
2,6,1,1,4,74,4
1,2,1,1,4,66,8
3,7,1,1,0,NA,7
2,3,2,NA,4,24,2
3,0,2,1,4,50,4
2,6,2,1,4,58,4
1,5,1,1,0,77,8
1,5,1,2,1,42,5
2,2,1,1,NA,39,5
2,0,1,1,4,52,5
3,0,1,1,0,51,5
2,4,2,1,4,48,5
2,2,2,2,3,45,2
0,1,1,2,0,77,NA
2,5,1,2,4,44,6
3,7,2,2,2,67,5
2,6,2,1,0,67,8
0,1,1,1,4,48,5
0,1,1,1,2,45,NA
3,5,2,1,5,67,3
2,6,2,1,4,69,8
1,5,1,1,2,20,4
3,3,1,1,4,66,8
2,3,1,1,4,48,5
3,7,1,2,4,75,8
2,0,2,1,2,31,7
2,4,2,NA,5,55,2
1,2,1,NA,1,56,5
1,0,2,2,3,78,9
3,0,2,1,0,59,5
0,5,1,1,0,67,5
2,5,2,2,5,41,3
2,4,2,1,0,90,7
2,2,2,1,3,42,5
2,6,2,1,4,89,8
1,3,1,2,4,31,NA
3,6,2,1,5,51,4
2,2,2,2,2,57,3
2,4,2,NA,3,72,NA
2,3,2,1,4,32,NA
3,8,2,1,4,50,8
3,4,1,1,4,52,4
3,8,2,1,3,57,0
3,2,2,1,1,60,2
1,4,1,1,2,55,5
0,5,1,2,0,45,8
2,3,1,1,4,35,5
2,0,2,2,0,85,4
1,4,1,2,3,63,NA
1,3,1,1,3,38,NA
0,5,1,2,1,47,NA
1,3,1,1,3,20,5
2,2,2,1,5,29,2
0,1,1,1,2,44,NA
2,7,2,2,NA,36,NA
2,5,1,1,3,73,7
2,9,2,1,4,52,NA
0,0,1,1,0,59,5
2,5,1,1,3,42,5
0,NA,1,1,2,23,5
2,5,2,2,2,45,3
1,4,2,1,3,36,5
3,5,1,2,3,38,6
2,5,2,1,0,89,8
3,6,2,1,0,70,7
1,0,2,NA,4,26,2
1,0,1,1,4,53,5
2,6,1,1,3,20,4
2,6,1,1,4,54,5
3,3,2,1,4,31,6
2,6,1,2,0,42,4
2,1,2,1,0,64,1
2,4,1,1,5,37,6
2,1,1,1,4,62,5
3,6,2,1,4,74,4
2,2,1,1,5,54,2
3,6,2,1,3,19,2
2,3,2,2,5,64,3
1,2,1,1,4,58,7
1,3,1,NA,3,80,2
2,2,2,1,0,47,5
0,1,1,1,0,71,NA
2,5,2,2,1,56,5
1,4,1,1,0,73,NA
1,1,1,1,2,71,7
1,1,1,2,4,39,3
0,5,1,1,1,46,6
2,6,2,1,3,69,7
3,0,2,1,2,63,5
0,0,1,1,5,37,4
1,4,1,1,1,56,7
2,5,1,2,3,37,5
2,4,2,1,4,81,5
2,0,2,2,4,26,5
2,5,2,1,0,75,3
3,2,2,1,4,66,5
3,5,2,1,3,67,5
2,4,1,1,0,62,7
2,4,2,1,4,59,4
2,2,2,1,3,52,1
2,3,2,1,NA,58,NA
2,7,2,1,2,18,6
1,2,1,1,3,22,3
1,2,1,1,4,24,4
2,2,2,1,4,52,3
2,8,2,1,0,74,10
2,1,2,1,NA,NA,3
3,0,2,1,2,58,8
2,0,1,2,0,52,NA
2,6,2,1,4,80,7
1,2,1,1,3,52,4
3,1,2,1,3,53,3
3,7,2,1,4,34,5
2,4,2,1,1,72,5
2,4,2,1,4,65,7
2,7,2,1,4,58,7
1,3,1,1,1,63,5
2,0,1,1,2,51,5
2,4,1,1,3,35,7
3,2,2,1,4,66,3
0,4,1,1,NA,NA,NA
2,4,2,1,5,31,3
2,0,2,1,3,26,5
3,3,2,1,2,54,3
2,4,2,1,4,30,8
3,0,1,2,5,71,NA
2,6,2,1,5,25,1
3,5,2,1,5,62,1
2,5,2,2,5,38,3
2,0,2,2,2,19,0
2,3,2,2,4,63,3
3,2,2,1,4,43,4
2,8,1,1,2,46,2
2,0,1,1,4,51,NA
3,5,2,2,5,53,1
3,2,2,2,4,63,2
1,2,1,2,4,44,3
2,3,1,1,4,37,3
3,2,2,2,5,76,8
2,4,2,1,4,22,4
2,9,1,1,2,62,8
2,3,2,1,5,42,2
3,5,2,1,4,39,2
2,6,1,1,2,51,6
2,8,1,2,4,50,7
1,6,1,1,0,90,5
2,6,1,1,4,75,8
2,0,1,1,4,48,7
1,5,1,1,0,81,NA
2,5,1,1,2,89,9
1,0,2,2,4,51,5
1,2,1,1,3,29,5
1,3,1,1,2,46,5
2,3,2,2,3,51,6
2,0,2,1,0,74,4
2,6,1,2,4,35,3
2,7,2,1,5,66,2
0,0,1,2,2,46,NA
3,4,2,1,5,39,2
0,2,1,2,3,72,6
3,0,1,1,5,73,5
1,7,1,1,3,51,NA
2,0,1,1,2,25,NA
2,6,2,NA,0,82,5
3,6,2,1,5,84,8
0,5,1,1,4,34,NA
3,3,2,1,4,54,8
1,0,1,1,3,22,5
2,7,2,1,4,65,7
2,3,2,2,4,64,5
2,4,1,1,3,19,4
3,1,1,1,3,31,NA
2,5,1,1,4,44,3
1,5,1,1,3,67,5
1,5,2,2,2,77,5
1,3,2,1,2,75,6
3,6,1,1,5,54,4
1,3,2,2,4,44,3
2,2,1,1,5,55,3
0,1,1,1,4,49,9
2,8,2,2,2,75,7
2,6,2,2,4,53,7
2,5,2,1,4,53,5
2,7,2,1,2,59,5
1,4,2,1,4,46,4
1,5,1,1,4,50,5
1,0,2,1,0,82,5
3,8,2,1,5,86,8
